system,node,rack,start_hours,end_hours,failure_type,root_cause
8,369,23,23.1526,23.1563,transient_node,Power Outage
8,500,31,25.5818,25.9011,transient_node,Power Outage
8,92,5,28.1768,28.2364,transient_node,Power Spike
8,33,2,32.1646,32.7069,transient_node,Power Outage
8,237,14,34.6843,34.7625,transient_node,Power Spike
8,15,0,35.2502,35.2828,transient_node,Network
8,161,10,35.337,36.1143,transient_node,Maintenance
8,405,25,36.3272,36.3459,transient_node,Power Outage
8,265,16,44.9049,45.2977,transient_node,Power Spike
8,123,7,64.594,65.198,transient_node,Power Spike
8,112,7,76.237,76.6056,transient_node,Power Spike
8,39,2,102.9661,103.7662,transient_node,Power Spike
8,108,6,103.7327,103.7427,transient_node,Network
8,504,31,104.5124,104.8391,transient_node,Maintenance
8,504,31,110.467,110.8246,transient_node,Maintenance
8,336,21,114.9244,114.9626,transient_node,Maintenance
8,77,4,116.7679,117.3663,transient_node,Network
8,20,1,132.0227,132.0632,transient_node,Maintenance
8,118,7,146.5638,147.0811,transient_node,Power Outage
8,194,12,150.3097,150.4849,transient_node,Maintenance
8,293,18,153.6752,154.2498,transient_node,Maintenance
8,504,31,156.9904,157.2825,transient_node,Power Spike
8,480,30,164.2261,164.2556,transient_node,Network
8,73,4,170.2217,170.4271,transient_node,Power Outage
8,31,1,183.9963,185.4847,transient_node,Maintenance
8,489,30,191.9059,192.3177,transient_node,Network
8,76,4,205.7257,205.7273,transient_node,Power Outage
8,255,15,208.2019,208.4238,transient_node,Network
8,132,8,210.8197,211.0608,transient_node,Power Outage
8,228,14,217.7721,218.1945,transient_node,Power Outage
8,61,3,242.91,243.1118,transient_node,Power Spike
8,353,22,252.3013,252.32,transient_node,Power Outage
8,150,9,271.2043,271.2251,transient_node,Power Outage
8,460,28,273.3847,273.4396,transient_node,Network
8,275,17,275.6245,275.7388,transient_node,Network
8,177,11,286.7936,287.6983,transient_node,Power Spike
8,457,28,290.1887,290.3017,transient_node,Power Spike
8,170,10,298.7408,299.1034,transient_node,Maintenance
8,499,31,314.215,314.594,transient_node,Power Spike
8,181,11,314.6658,314.9407,transient_node,Power Spike
8,124,7,315.8411,316.0708,transient_node,Network
8,433,27,316.8397,317.4908,transient_node,Maintenance
8,25,1,323.5747,323.6598,transient_node,Network
8,407,25,338.2829,338.3615,transient_node,Maintenance
8,344,21,343.988,344.1101,transient_node,Power Outage
8,83,5,352.6963,352.7752,transient_node,Power Spike
8,284,17,358.4031,358.4196,transient_node,Power Spike
8,160,10,363.8576,364.6941,transient_node,Power Spike
8,321,20,365.0655,365.1006,transient_node,Power Spike
8,396,24,366.1574,366.3681,transient_node,Network
8,463,28,371.4141,371.5293,transient_node,Maintenance
8,320,20,377.4248,377.4396,transient_node,Maintenance
8,50,3,383.8197,384.398,transient_node,Power Spike
8,458,28,387.0419,387.2602,transient_node,Power Spike
8,219,13,396.8037,397.1976,transient_node,Maintenance
8,495,30,411.9012,411.966,transient_node,Power Outage
8,256,16,419.7122,419.8642,transient_node,Network
8,28,1,424.5788,424.651,transient_node,Maintenance
8,507,31,433.86,434.1016,transient_node,Network
8,56,3,439.233,439.4372,transient_node,Maintenance
8,405,25,444.6502,444.8679,transient_node,Network
8,367,22,454.2777,454.5772,transient_node,Power Outage
8,71,4,454.6176,454.7249,transient_node,Power Spike
8,0,0,455.5716,455.7975,transient_node,Network
8,375,23,458.6559,458.7533,transient_node,Power Spike
8,419,26,459.0086,459.3177,transient_node,Network
8,454,28,463.516,463.768,transient_node,Maintenance
8,113,7,468.4119,468.8882,transient_node,Power Spike
8,204,12,468.7071,468.7264,transient_node,Power Outage
8,202,12,469.7525,469.9243,transient_node,Power Outage
8,388,24,473.651,473.7417,transient_node,Maintenance
8,223,13,478.7922,478.8031,transient_node,Network
8,449,28,482.8586,482.9037,transient_node,Power Outage
8,496,31,485.5475,485.8016,transient_node,Power Outage
8,316,19,485.7943,485.8666,transient_node,Power Outage
8,16,1,495.0219,495.0811,transient_node,Network
8,275,17,498.1399,498.1428,transient_node,Network
