system,node,rack,start_hours,end_hours,failure_type,root_cause,drive_type
5,59,7,30.3164,30.3664,transient_node,Network,nvme
5,93,11,87.8853,87.9736,transient_node,Network,nvme
5,1,0,104.7301,104.8489,transient_node,Network,nvme
5,50,6,110.8419,110.9469,transient_node,Network,nvme
5,69,8,127.767,128.0284,transient_node,Network,nvme
5,95,11,169.3525,169.6408,transient_node,Network,nvme
5,17,2,181.7358,182.1847,transient_node,Network,nvme
5,22,2,183.0588,183.067,transient_node,Network,nvme
5,92,11,190.0299,190.035,transient_node,Network,nvme
5,27,3,192.1749,192.1951,transient_node,Network,nvme
5,10,1,278.4944,278.5568,transient_node,Network,nvme
5,108,13,296.9999,297.0007,transient_node,Network,nvme
5,49,6,337.4415,337.9837,transient_node,Network,nvme
5,68,8,353.3079,353.5541,transient_node,Network,nvme
5,79,9,385.9733,386.2173,transient_node,Network,nvme
5,28,3,407.9646,408.0137,transient_node,Network,nvme
5,120,15,411.461,411.5468,transient_node,Network,nvme
5,79,9,441.9586,442.171,transient_node,Network,nvme
5,22,2,460.4421,460.6563,transient_node,Network,nvme
5,85,10,465.4537,465.4932,transient_node,Network,nvme
5,118,14,466.9307,467.1129,transient_node,Network,nvme
5,117,14,486.545,486.986,transient_node,Network,nvme
5,13,1,501.4009,501.5581,transient_node,Network,nvme
5,50,6,519.8804,520.0729,transient_node,Network,nvme
5,69,8,544.3143,544.7273,transient_node,Network,nvme
5,107,13,556.0431,556.4519,transient_node,Network,nvme
5,59,7,571.0436,571.1221,transient_node,Network,nvme
5,120,15,576.2536,576.3068,transient_node,Network,nvme
5,12,1,578.8579,578.9797,transient_node,Network,nvme
5,19,2,627.2783,627.6472,transient_node,Network,nvme
5,73,9,680.1692,680.3679,transient_node,Network,nvme
5,68,8,694.5857,694.5865,transient_node,Network,nvme
5,54,6,701.8938,701.935,transient_node,Network,nvme
5,42,5,707.85,707.8891,transient_node,Network,nvme
5,55,6,735.4175,735.5652,transient_node,Network,nvme
5,16,2,737.6106,737.7039,transient_node,Network,nvme
5,113,14,772.6077,772.9556,transient_node,Network,nvme
