system,node,rack,start_hours,end_hours,failure_type,root_cause,drive_type
6,214,13,0.5721,0.6661,transient_node,Network,ssd
6,220,13,1.5666,1.7683,transient_node,Network,ssd
6,85,5,10.507,10.5963,transient_node,Network,ssd
6,217,13,16.8675,16.9794,transient_node,Network,ssd
6,15,0,37.6449,38.4364,transient_node,Network,ssd
6,37,2,83.2116,84.0413,transient_node,Network,ssd
6,101,6,86.8631,86.9391,transient_node,Network,ssd
6,237,14,96.3781,96.4028,transient_node,Network,ssd
6,230,14,96.6775,97.0692,transient_node,Network,ssd
6,83,5,97.8022,98.1894,transient_node,Network,ssd
6,86,5,103.3653,103.3809,transient_node,Network,ssd
6,76,4,104.6114,105.2622,transient_node,Network,ssd
6,183,11,108.7519,108.7773,transient_node,Network,ssd
6,40,2,117.5838,117.6349,transient_node,Network,ssd
6,72,4,122.4918,122.5388,transient_node,Network,ssd
6,176,11,132.0187,132.1378,transient_node,Network,ssd
6,132,8,154.2359,154.6183,transient_node,Network,ssd
6,176,11,156.1106,156.1877,transient_node,Network,ssd
6,123,7,158.3441,158.3743,transient_node,Network,ssd
6,170,10,160.1454,160.5152,transient_node,Network,ssd
6,166,10,160.9089,160.9758,transient_node,Network,ssd
6,106,6,163.9575,164.0193,transient_node,Network,ssd
6,185,11,167.1321,167.5441,transient_node,Network,ssd
6,145,9,201.5132,201.6621,transient_node,Network,ssd
6,232,14,219.1773,219.3094,transient_node,Network,ssd
6,13,0,220.4479,220.7188,transient_node,Network,ssd
6,144,9,229.5891,229.8805,transient_node,Network,ssd
6,227,14,258.748,258.7726,transient_node,Network,ssd
6,122,7,275.4627,275.973,transient_node,Network,ssd
6,138,8,277.9008,278.3453,transient_node,Network,ssd
6,66,4,282.4385,282.4891,transient_node,Network,ssd
6,80,5,286.9331,287.0355,transient_node,Network,ssd
6,43,2,289.3086,289.572,transient_node,Network,ssd
6,74,4,294.6706,294.7124,transient_node,Network,ssd
6,20,1,300.7086,301.1004,transient_node,Network,ssd
6,97,6,304.8921,304.9785,transient_node,Network,ssd
6,204,12,309.1049,309.7068,transient_node,Network,ssd
6,124,7,321.1907,321.5994,transient_node,Network,ssd
6,122,7,355.5646,355.672,transient_node,Network,ssd
6,187,11,377.9274,378.1732,transient_node,Network,ssd
6,0,0,402.5015,403.0602,transient_node,Network,ssd
6,75,4,403.4083,403.62,transient_node,Network,ssd
6,239,14,405.1347,405.2231,transient_node,Network,ssd
6,97,6,422.1672,422.2398,transient_node,Network,ssd
6,127,7,422.8467,423.2215,transient_node,Network,ssd
6,23,1,435.0962,435.6338,permanent_node,SSD_Sudden_Death,ssd
6,23,1,437.5815,438.3056,transient_node,Network,ssd
6,84,5,442.0555,442.0892,transient_node,Network,ssd
6,108,6,450.1115,450.1278,transient_node,Network,ssd
6,25,1,466.5837,466.7365,transient_node,Network,ssd
6,77,4,471.4207,471.5185,transient_node,Network,ssd
6,48,3,472.3132,472.3404,transient_node,Network,ssd
6,62,3,475.1544,475.4311,transient_node,Network,ssd
