system,config,pdl,nomdl,br
D4,"RS(9,6) r=9",1.000000,1.378418e-06,9.994000e-04
D4,"RS(9,6) r=3",0.9944444,4.657127e-06,6.286028e-04
D4,"DRC(9,6,3)",0.975000,3.909197e-06,3.454639e-04
D5,"RS(9,6) r=9",1.000000,1.897643e-06,6.516194e-04
D5,"RS(9,6) r=3",1.000000,5.724717e-06,6.619250e-04
D5,"DRC(9,6,3)",1.000000,2.408920e-06,3.668250e-04
D6,"RS(9,6) r=9",0.6472222,8.742048e-07,4.905083e-04
D6,"RS(9,6) r=3",0.7611111,1.218588e-06,3.404028e-04
D6,"DRC(9,6,3)",0.3972222,5.757389e-07,1.668528e-04
D7,"RS(9,6) r=9",0.3944444,5.130434e-07,3.782500e-04
D7,"RS(9,6) r=3",0.04722222,6.004639e-08,2.194972e-04
D7,"DRC(9,6,3)",0.02222222,2.825712e-08,1.237917e-04
D8,"RS(9,6) r=9",0.250000,3.178927e-07,4.171778e-04
D8,"RS(9,6) r=3",1.000000,2.446007e-06,1.996361e-04
D8,"DRC(9,6,3)",1.000000,2.212886e-06,1.462611e-04
