system,node,rack,start_hours,end_hours,failure_type,root_cause
6,55,3,9.1357,9.2262,transient_node,Power Spike
6,130,8,24.0613,24.3177,transient_node,Maintenance
6,76,4,28.956,29.2392,transient_node,Network
6,44,2,31.4102,31.5548,transient_node,Maintenance
6,206,12,49.8911,50.0757,transient_node,Maintenance
6,186,11,53.6861,53.7205,transient_node,Power Outage
6,13,0,65.8158,66.3242,transient_node,Power Spike
6,19,1,72.4214,72.8124,transient_node,Power Outage
6,19,1,108.2954,108.4783,transient_node,Network
6,27,1,115.8557,116.1246,transient_node,Power Spike
6,89,5,125.3933,125.9868,transient_node,Maintenance
6,237,14,132.429,132.4411,transient_node,Power Spike
6,29,1,134.895,135.5724,transient_node,Network
6,90,5,136.2242,136.3134,transient_node,Maintenance
6,247,15,136.9167,137.5885,transient_node,Network
6,233,14,145.0212,145.1511,transient_node,Power Outage
6,107,6,149.6406,149.6713,transient_node,Network
6,141,8,149.8258,150.0612,transient_node,Maintenance
6,246,15,169.228,169.3697,transient_node,Power Outage
6,148,9,170.2964,170.343,transient_node,Network
6,90,5,175.3436,175.542,transient_node,Power Spike
6,137,8,179.3275,179.5453,transient_node,Power Outage
6,178,11,186.5919,186.9332,transient_node,Power Outage
6,182,11,223.4421,223.4947,transient_node,Power Spike
6,157,9,239.5433,239.7099,transient_node,Power Spike
6,216,13,240.9257,240.957,transient_node,Network
6,71,4,250.7426,250.878,transient_node,Power Spike
6,245,15,345.7598,346.0492,transient_node,Power Spike
6,103,6,345.8927,346.0461,transient_node,Network
6,169,10,350.0591,350.658,transient_node,Power Spike
6,133,8,374.8575,374.8902,transient_node,Power Spike
6,20,1,376.1186,376.2575,transient_node,Power Spike
6,112,7,398.274,398.4711,transient_node,Power Outage
6,169,10,405.0255,405.0655,transient_node,Power Spike
6,48,3,409.8685,410.0214,transient_node,Power Spike
6,23,1,420.3044,420.5827,transient_node,Network
6,253,15,429.7668,430.2328,transient_node,Power Outage
6,164,10,450.2673,450.3247,transient_node,Power Outage
