system,node,rack,start_hours,end_hours,failure_type,root_cause,drive_type
8,155,9,1.5419,2.1392,transient_node,Network,nvme
8,285,17,7.0081,7.939,transient_node,Network,nvme
8,139,8,7.5657,7.6026,transient_node,Network,nvme
8,492,30,9.8502,10.0649,transient_node,Network,nvme
8,292,18,18.3315,18.9616,transient_node,Network,nvme
8,126,7,20.9707,21.084,transient_node,Network,nvme
8,302,18,28.2402,28.3489,transient_node,Network,nvme
8,74,4,28.531,28.6712,transient_node,Network,nvme
8,441,27,32.6521,33.2326,transient_node,Network,nvme
8,386,24,38.5446,39.1652,transient_node,Network,nvme
8,244,15,58.9594,59.579,transient_node,Network,nvme
8,80,5,61.7118,62.1149,transient_node,Network,nvme
8,121,7,74.477,74.8802,transient_node,Network,nvme
8,368,23,78.1705,78.1725,transient_node,Network,nvme
8,53,3,86.8524,87.1544,transient_node,Network,nvme
8,132,8,104.4753,105.0226,transient_node,Network,nvme
8,110,6,105.0848,105.1125,transient_node,Network,nvme
8,209,13,109.8576,109.9267,transient_node,Network,nvme
8,378,23,113.0648,113.2376,transient_node,Network,nvme
8,416,26,120.9169,121.0516,transient_node,Network,nvme
8,201,12,152.1429,152.3087,transient_node,Network,nvme
8,316,19,157.1674,157.1921,transient_node,Network,nvme
8,185,11,159.5365,159.8277,transient_node,Network,nvme
8,123,7,167.308,167.4898,transient_node,Network,nvme
8,108,6,178.9566,179.1871,transient_node,Network,nvme
8,232,14,179.4925,179.5836,transient_node,Network,nvme
8,171,10,181.7286,181.8142,transient_node,Network,nvme
8,68,4,185.7241,185.7349,transient_node,Network,nvme
8,324,20,193.5397,194.3437,transient_node,Network,nvme
8,383,23,200.1159,200.1309,transient_node,Network,nvme
8,323,20,205.692,206.1269,transient_node,Network,nvme
8,186,11,206.0859,206.1305,transient_node,Network,nvme
8,408,25,208.8243,208.8563,transient_node,Network,nvme
8,86,5,208.8497,208.9539,transient_node,Network,nvme
8,173,10,212.6003,212.896,transient_node,Network,nvme
8,422,26,212.8303,213.1436,transient_node,Network,nvme
8,76,4,218.7221,218.7359,transient_node,Network,nvme
8,289,18,221.3512,221.5015,transient_node,Network,nvme
8,335,20,223.8459,223.9556,transient_node,Network,nvme
8,51,3,224.0238,224.2229,transient_node,Network,nvme
8,393,24,224.8184,225.1678,transient_node,Network,nvme
8,21,1,233.4385,234.2174,transient_node,Network,nvme
8,458,28,233.5267,233.9837,transient_node,Network,nvme
8,324,20,243.1514,243.5061,transient_node,Network,nvme
8,454,28,254.7643,255.1018,transient_node,Network,nvme
8,59,3,255.9273,256.0882,transient_node,Network,nvme
8,359,22,260.6507,260.6924,transient_node,Network,nvme
8,79,4,271.0887,271.0895,transient_node,Network,nvme
8,120,7,273.4163,273.4339,transient_node,Network,nvme
8,58,3,279.4639,279.9566,transient_node,Network,nvme
8,435,27,280.3795,280.8019,transient_node,Network,nvme
8,92,5,300.126,300.1453,transient_node,Network,nvme
8,402,25,301.6264,301.7025,transient_node,Network,nvme
8,187,11,302.5442,302.5542,transient_node,Network,nvme
8,149,9,318.0416,318.0677,transient_node,Network,nvme
8,344,21,318.3493,318.6661,transient_node,Network,nvme
8,482,30,323.7256,323.829,transient_node,Network,nvme
8,99,6,333.7788,334.4351,transient_node,Network,nvme
8,493,30,370.9293,371.0954,transient_node,Network,nvme
8,245,15,378.5532,378.7724,transient_node,Network,nvme
8,2,0,384.3539,384.3565,transient_node,Network,nvme
8,493,30,403.736,403.8385,transient_node,Network,nvme
8,79,4,405.0696,405.4804,transient_node,Network,nvme
8,111,6,418.9826,419.2323,transient_node,Network,nvme
8,241,15,427.3867,428.2654,transient_node,Network,nvme
8,75,4,428.6781,428.8183,transient_node,Network,nvme
8,45,2,430.5111,430.6585,transient_node,Network,nvme
8,387,24,431.2059,431.5967,transient_node,Network,nvme
8,242,15,432.5796,432.7701,transient_node,Network,nvme
8,369,23,444.0009,444.1669,transient_node,Network,nvme
8,22,1,455.1436,456.1327,transient_node,Network,nvme
8,41,2,460.5667,460.7497,transient_node,Network,nvme
8,278,17,465.2325,465.3001,transient_node,Network,nvme
8,43,2,473.7414,473.8313,transient_node,Network,nvme
8,344,21,486.9008,487.1734,transient_node,Network,nvme
8,158,9,497.2295,497.5726,transient_node,Network,nvme
8,49,3,497.9655,498.4092,transient_node,Network,nvme
8,363,22,512.2566,512.9124,transient_node,Network,nvme
8,32,2,514.5405,514.8641,transient_node,Network,nvme
8,447,27,516.193,516.6591,transient_node,Network,nvme
8,31,1,519.426,519.5521,transient_node,Network,nvme
8,386,24,520.3304,520.3608,transient_node,Network,nvme
8,255,15,525.5869,525.6695,transient_node,Network,nvme
8,186,11,525.8329,526.3761,transient_node,Network,nvme
8,388,24,528.0961,528.3727,transient_node,Network,nvme
8,370,23,532.4068,533.7917,transient_node,Network,nvme
8,436,27,535.0468,536.517,transient_node,Network,nvme
8,207,12,538.9759,539.2855,transient_node,Network,nvme
8,339,21,541.8788,541.9099,transient_node,Network,nvme
8,163,10,547.1349,547.3987,transient_node,Network,nvme
8,106,6,556.2869,557.377,transient_node,Network,nvme
8,366,22,566.3151,566.3664,transient_node,Network,nvme
8,375,23,573.9449,574.523,transient_node,Network,nvme
8,124,7,580.1694,580.6307,transient_node,Network,nvme
8,278,17,580.9485,581.2102,transient_node,Network,nvme
8,324,20,581.4415,581.7611,transient_node,Network,nvme
8,379,23,582.0534,582.0543,transient_node,Network,nvme
8,445,27,587.4506,587.7114,transient_node,Network,nvme
8,71,4,589.7228,590.1381,transient_node,Network,nvme
8,123,7,596.78,597.2809,transient_node,Network,nvme
8,39,2,599.278,599.6954,transient_node,Network,nvme
8,108,6,606.2173,606.2303,transient_node,Network,nvme
8,143,8,614.7848,615.5099,transient_node,Network,nvme
8,323,20,634.8141,635.4737,transient_node,Network,nvme
8,33,2,635.7294,635.755,transient_node,Network,nvme
8,26,1,637.5166,637.5373,transient_node,Network,nvme
8,414,25,639.6466,639.6783,transient_node,Network,nvme
8,270,16,651.4136,651.8658,transient_node,Network,nvme
8,277,17,653.0862,653.0981,transient_node,Network,nvme
8,502,31,665.2466,665.2937,transient_node,Network,nvme
8,421,26,684.6813,684.9484,transient_node,Network,nvme
8,230,14,685.4936,685.7439,transient_node,Network,nvme
8,5,0,709.4077,709.8335,transient_node,Network,nvme
8,247,15,713.1583,713.7779,transient_node,Network,nvme
8,74,4,715.6808,716.1965,transient_node,Network,nvme
8,144,9,717.5296,717.53,transient_node,Network,nvme
8,212,13,730.668,730.9396,transient_node,Network,nvme
8,509,31,737.9502,738.3455,transient_node,Network,nvme
8,271,16,738.6968,739.0079,transient_node,Network,nvme
8,151,9,744.5778,744.9999,transient_node,Network,nvme
8,239,14,747.6203,747.6952,transient_node,Network,nvme
8,267,16,747.6311,748.0365,transient_node,Network,nvme
8,165,10,752.9252,752.9406,transient_node,Network,nvme
8,173,10,754.121,754.2552,transient_node,Network,nvme
8,50,3,756.7081,756.7331,transient_node,Network,nvme
8,128,8,764.1297,764.3,transient_node,Network,nvme
8,63,3,765.3565,765.3655,transient_node,Network,nvme
8,106,6,771.9626,772.0616,transient_node,Network,nvme
8,398,24,774.0367,774.1522,transient_node,Network,nvme
8,1,0,784.274,784.3955,transient_node,Network,nvme
8,101,6,785.6731,786.1101,transient_node,Network,nvme
8,52,3,791.7846,792.0857,transient_node,Network,nvme
8,7,0,794.3441,794.5288,transient_node,Network,nvme
8,397,24,795.1968,795.5852,transient_node,Network,nvme
8,439,27,798.5557,798.7427,transient_node,Network,nvme
8,412,25,804.5623,804.7053,transient_node,Network,nvme
8,67,4,812.031,812.0638,transient_node,Network,nvme
8,333,20,813.3694,813.5146,transient_node,Network,nvme
8,492,30,814.7375,815.5982,transient_node,Network,nvme
8,359,22,832.8602,832.8715,transient_node,Network,nvme
8,53,3,836.426,839.0136,permanent_node,NVMe_Sudden_Death,nvme
8,25,1,837.4108,838.184,transient_node,Network,nvme
8,6,0,845.1871,845.1942,transient_node,Network,nvme
8,438,27,851.0382,851.1634,transient_node,Network,nvme
8,23,1,858.5078,858.5864,transient_node,Network,nvme
8,153,9,864.3025,864.3842,transient_node,Network,nvme
8,274,17,866.8865,868.1199,transient_node,Network,nvme
8,237,14,868.3848,868.8013,transient_node,Network,nvme
8,187,11,872.4965,873.0233,transient_node,Network,nvme
8,307,19,886.776,887.6155,transient_node,Network,nvme
8,288,18,896.9572,897.3738,transient_node,Network,nvme
8,267,16,900.2637,900.4712,transient_node,Network,nvme
8,11,0,904.6019,905.0454,transient_node,Network,nvme
8,352,22,905.1626,905.295,transient_node,Network,nvme
8,492,30,909.0461,909.0521,transient_node,Network,nvme
8,202,12,909.8404,909.8654,transient_node,Network,nvme
8,499,31,914.3876,914.6946,transient_node,Network,nvme
8,218,13,915.8515,915.9879,transient_node,Network,nvme
8,327,20,916.0044,916.1765,transient_node,Network,nvme
8,449,28,919.9589,919.9773,transient_node,Network,nvme
8,387,24,926.7662,926.8049,transient_node,Network,nvme
8,272,17,932.8164,933.3202,transient_node,Network,nvme
8,466,29,947.1359,947.1888,transient_node,Network,nvme
8,326,20,954.3105,954.7777,transient_node,Network,nvme
8,130,8,964.1437,964.3835,transient_node,Network,nvme
8,255,15,964.1629,964.2974,transient_node,Network,nvme
8,445,27,977.8795,978.0947,transient_node,Network,nvme
8,459,28,979.5207,979.5867,transient_node,Network,nvme
8,171,10,981.3746,981.4821,transient_node,Network,nvme
8,82,5,985.3469,985.477,transient_node,Network,nvme
8,244,15,988.9382,988.9579,transient_node,Network,nvme
8,106,6,994.1123,994.1853,transient_node,Network,nvme
8,108,6,998.7779,998.8225,transient_node,Network,nvme
8,337,21,999.2885,999.5356,transient_node,Network,nvme
8,85,5,1019.641,1019.9409,transient_node,Network,nvme
8,3,0,1026.1676,1026.6521,transient_node,Network,nvme
8,28,1,1035.586,1036.0729,transient_node,Network,nvme
8,443,27,1037.3357,1037.5213,transient_node,Network,nvme
8,430,26,1037.6582,1038.1598,transient_node,Network,nvme
8,143,8,1039.3885,1039.5459,transient_node,Network,nvme
8,505,31,1041.1271,1041.1309,transient_node,Network,nvme
8,438,27,1041.9022,1041.9815,transient_node,Network,nvme
8,221,13,1044.0777,1044.2439,transient_node,Network,nvme
8,413,25,1049.9884,1051.8947,permanent_node,NVMe_Sudden_Death,nvme
8,331,20,1055.6131,1056.2187,transient_node,Network,nvme
8,491,30,1060.601,1061.0331,transient_node,Network,nvme
8,445,27,1062.0778,1062.1265,transient_node,Network,nvme
8,92,5,1064.3208,1064.7918,transient_node,Network,nvme
8,44,2,1066.842,1066.8676,transient_node,Network,nvme
8,351,21,1069.2208,1069.3234,transient_node,Network,nvme
8,478,29,1072.2826,1072.734,transient_node,Network,nvme
8,324,20,1111.15,1111.3544,transient_node,Network,nvme
8,483,30,1116.3468,1116.8873,transient_node,Network,nvme
8,141,8,1125.8156,1126.2134,transient_node,Network,nvme
8,202,12,1141.5064,1141.5226,transient_node,Network,nvme
8,108,6,1146.5912,1146.785,transient_node,Network,nvme
8,110,6,1167.0144,1168.188,transient_node,Network,nvme
8,431,26,1177.0925,1177.165,transient_node,Network,nvme
8,146,9,1178.9698,1179.0232,transient_node,Network,nvme
8,159,9,1183.9531,1184.1025,transient_node,Network,nvme
8,387,24,1191.1008,1191.2757,transient_node,Network,nvme
8,231,14,1192.0919,1192.1691,transient_node,Network,nvme
8,125,7,1194.3885,1194.9582,transient_node,Network,nvme
8,501,31,1203.492,1203.8001,transient_node,Network,nvme
8,41,2,1205.1311,1205.189,transient_node,Network,nvme
8,34,2,1206.8648,1207.302,transient_node,Network,nvme
8,338,21,1207.5741,1207.7174,transient_node,Network,nvme
8,217,13,1209.5984,1209.8014,transient_node,Network,nvme
8,501,31,1210.1933,1210.1957,transient_node,Network,nvme
8,228,14,1210.4129,1210.7158,transient_node,Network,nvme
8,151,9,1211.3741,1211.9874,transient_node,Network,nvme
8,306,19,1221.2479,1221.7971,transient_node,Network,nvme
8,431,26,1222.4428,1222.5414,transient_node,Network,nvme
8,274,17,1223.6859,1224.0493,transient_node,Network,nvme
8,273,17,1225.8631,1226.6871,transient_node,Network,nvme
8,461,28,1244.3022,1244.363,transient_node,Network,nvme
8,196,12,1246.4105,1246.7492,transient_node,Network,nvme
8,91,5,1250.3793,1250.7117,transient_node,Network,nvme
8,310,19,1259.415,1259.8581,transient_node,Network,nvme
8,312,19,1260.1263,1260.1888,transient_node,Network,nvme
8,370,23,1261.0728,1261.4671,transient_node,Network,nvme
8,21,1,1262.8248,1262.9215,transient_node,Network,nvme
8,396,24,1265.8234,1265.9374,transient_node,Network,nvme
8,445,27,1276.1582,1276.6903,transient_node,Network,nvme
8,20,1,1279.4063,1279.4745,transient_node,Network,nvme
8,481,30,1280.3063,1280.3223,transient_node,Network,nvme
8,349,21,1283.9739,1284.1193,transient_node,Network,nvme
8,399,24,1288.1152,1288.2493,transient_node,Network,nvme
8,237,14,1299.7501,1299.8914,transient_node,Network,nvme
8,199,12,1313.2431,1313.2955,transient_node,Network,nvme
8,49,3,1327.4714,1327.7012,transient_node,Network,nvme
8,403,25,1329.0723,1329.1201,transient_node,Network,nvme
8,214,13,1333.6498,1333.8576,transient_node,Network,nvme
8,491,30,1334.8909,1334.8968,transient_node,Network,nvme
8,200,12,1340.5813,1340.5857,transient_node,Network,nvme
8,140,8,1355.6511,1355.6561,transient_node,Network,nvme
8,31,1,1365.1173,1365.3209,transient_node,Network,nvme
8,285,17,1371.9163,1371.938,transient_node,Network,nvme
8,476,29,1383.4665,1383.536,transient_node,Network,nvme
8,336,21,1389.5608,1389.6938,transient_node,Network,nvme
8,405,25,1389.6522,1389.8955,transient_node,Network,nvme
8,379,23,1390.1062,1390.3238,transient_node,Network,nvme
8,462,28,1390.5699,1390.6137,transient_node,Network,nvme
8,418,26,1390.6005,1390.8697,transient_node,Network,nvme
8,258,16,1406.6297,1407.0969,transient_node,Network,nvme
8,442,27,1424.1039,1424.1267,transient_node,Network,nvme
8,404,25,1434.685,1435.1542,transient_node,Network,nvme
8,165,10,1435.0641,1435.1443,transient_node,Network,nvme
8,263,16,1442.9077,1442.9192,transient_node,Network,nvme
8,199,12,1443.032,1443.452,transient_node,Network,nvme
8,315,19,1444.2275,1444.2485,transient_node,Network,nvme
8,217,13,1444.9686,1445.6109,transient_node,Network,nvme
8,458,28,1446.8849,1447.1052,transient_node,Network,nvme
8,8,0,1447.5114,1448.3551,transient_node,Network,nvme
8,24,1,1447.7663,1448.8419,transient_node,Network,nvme
8,205,12,1457.1327,1457.2925,transient_node,Network,nvme
8,406,25,1459.9003,1460.1133,transient_node,Network,nvme
8,135,8,1466.1181,1466.229,transient_node,Network,nvme
8,16,1,1466.5537,1466.5633,transient_node,Network,nvme
8,375,23,1472.0613,1472.3979,transient_node,Network,nvme
8,481,30,1472.5138,1472.6985,transient_node,Network,nvme
8,8,0,1479.2041,1479.2585,transient_node,Network,nvme
8,354,22,1481.1404,1481.2189,transient_node,Network,nvme
8,441,27,1507.7987,1507.8714,transient_node,Network,nvme
8,53,3,1509.4827,1509.5877,transient_node,Network,nvme
8,352,22,1509.8177,1510.0873,transient_node,Network,nvme
8,490,30,1512.4528,1512.7328,transient_node,Network,nvme
8,150,9,1512.5491,1513.0331,transient_node,Network,nvme
8,112,7,1513.1723,1513.5892,transient_node,Network,nvme
8,119,7,1517.8723,1517.9209,transient_node,Network,nvme
8,311,19,1519.9551,1520.3001,transient_node,Network,nvme
8,262,16,1523.5396,1523.5567,transient_node,Network,nvme
8,389,24,1532.7046,1533.1323,transient_node,Network,nvme
8,108,6,1543.7878,1544.2535,transient_node,Network,nvme
8,392,24,1556.7985,1556.9255,transient_node,Network,nvme
8,142,8,1566.143,1566.7536,transient_node,Network,nvme
8,392,24,1568.5691,1568.8098,transient_node,Network,nvme
8,321,20,1571.0821,1572.2328,transient_node,Network,nvme
8,427,26,1575.8955,1575.9068,transient_node,Network,nvme
8,49,3,1577.2886,1577.3391,transient_node,Network,nvme
8,115,7,1578.2078,1578.5791,transient_node,Network,nvme
8,180,11,1579.2815,1579.3905,transient_node,Network,nvme
8,280,17,1595.1519,1595.1609,transient_node,Network,nvme
8,50,3,1597.7006,1597.7221,transient_node,Network,nvme
8,347,21,1598.232,1598.4195,transient_node,Network,nvme
8,198,12,1598.8946,1599.9361,transient_node,Network,nvme
8,362,22,1600.6274,1601.0348,transient_node,Network,nvme
8,433,27,1603.7779,1603.7943,transient_node,Network,nvme
8,235,14,1614.986,1616.0426,transient_node,Network,nvme
8,310,19,1617.3068,1617.3169,transient_node,Network,nvme
8,160,10,1617.3259,1618.2446,transient_node,Network,nvme
8,297,18,1620.7164,1620.8142,transient_node,Network,nvme
8,106,6,1628.551,1628.7261,transient_node,Network,nvme
8,93,5,1632.5099,1632.7408,transient_node,Network,nvme
8,474,29,1642.3297,1642.4507,transient_node,Network,nvme
8,96,6,1647.3396,1648.4584,transient_node,Network,nvme
8,342,21,1659.1534,1659.3656,transient_node,Network,nvme
8,1,0,1659.5789,1659.6261,transient_node,Network,nvme
8,111,6,1664.6438,1664.7148,transient_node,Network,nvme
8,465,29,1674.5881,1674.838,transient_node,Network,nvme
8,202,12,1682.6324,1682.6551,transient_node,Network,nvme
8,106,6,1689.3159,1690.1184,transient_node,Network,nvme
8,278,17,1695.8405,1695.8939,transient_node,Network,nvme
8,440,27,1750.2705,1750.3255,transient_node,Network,nvme
8,376,23,1768.9234,1769.0816,transient_node,Network,nvme
8,47,2,1779.1767,1779.4705,transient_node,Network,nvme
8,86,5,1783.5861,1784.0473,transient_node,Network,nvme
8,46,2,1786.3118,1786.529,transient_node,Network,nvme
8,91,5,1786.3732,1786.471,transient_node,Network,nvme
8,19,1,1789.4761,1789.8708,transient_node,Network,nvme
8,282,17,1794.0008,1794.4354,transient_node,Network,nvme
8,267,16,1805.6863,1805.8077,transient_node,Network,nvme
8,453,28,1805.9157,1806.1237,transient_node,Network,nvme
8,235,14,1808.5963,1808.7289,transient_node,Network,nvme
8,124,7,1819.2209,1819.442,transient_node,Network,nvme
8,64,4,1827.0813,1827.1219,transient_node,Network,nvme
8,63,3,1829.5066,1829.5225,transient_node,Network,nvme
8,123,7,1829.8545,1830.793,transient_node,Network,nvme
8,339,21,1829.999,1830.0289,transient_node,Network,nvme
8,412,25,1835.6369,1835.8334,transient_node,Network,nvme
8,438,27,1841.0976,1841.1191,transient_node,Network,nvme
8,140,8,1843.6081,1843.8913,transient_node,Network,nvme
8,346,21,1844.1428,1844.1613,transient_node,Network,nvme
8,239,14,1845.4803,1845.5754,transient_node,Network,nvme
8,14,0,1855.7668,1856.1006,transient_node,Network,nvme
8,129,8,1859.1161,1859.2236,transient_node,Network,nvme
8,336,21,1865.6294,1865.7341,transient_node,Network,nvme
8,46,2,1865.8516,1865.8529,transient_node,Network,nvme
8,53,3,1873.4712,1873.8281,transient_node,Network,nvme
8,101,6,1873.4753,1873.8929,transient_node,Network,nvme
8,74,4,1882.0116,1882.3357,transient_node,Network,nvme
8,365,22,1886.1496,1886.3507,transient_node,Network,nvme
8,266,16,1889.7353,1889.8031,transient_node,Network,nvme
8,18,1,1894.056,1894.0574,transient_node,Network,nvme
8,469,29,1909.355,1909.9986,transient_node,Network,nvme
8,188,11,1914.0069,1914.0995,transient_node,Network,nvme
8,75,4,1919.7184,1919.7221,transient_node,Network,nvme
8,487,30,1924.2843,1924.4792,transient_node,Network,nvme
8,285,17,1938.474,1938.5499,transient_node,Network,nvme
8,447,27,1939.6378,1940.5953,transient_node,Network,nvme
8,125,7,1951.3867,1951.547,transient_node,Network,nvme
8,211,13,1957.5168,1957.5804,transient_node,Network,nvme
8,385,24,1959.4945,1959.6797,transient_node,Network,nvme
8,186,11,1966.3578,1966.9474,transient_node,Network,nvme
8,366,22,1973.8517,1973.9774,transient_node,Network,nvme
8,503,31,1974.6872,1974.8515,transient_node,Network,nvme
8,372,23,1977.8272,1977.8591,transient_node,Network,nvme
8,421,26,1983.9317,1984.0089,transient_node,Network,nvme
8,497,31,2006.8774,2007.0821,transient_node,Network,nvme
8,77,4,2013.8078,2014.0973,transient_node,Network,nvme
8,114,7,2026.5274,2026.7557,transient_node,Network,nvme
8,219,13,2028.8556,2028.8851,transient_node,Network,nvme
8,284,17,2036.2585,2036.7224,transient_node,Network,nvme
8,258,16,2038.9138,2039.0843,transient_node,Network,nvme
8,61,3,2047.0064,2047.621,transient_node,Network,nvme
8,116,7,2051.7665,2051.8678,transient_node,Network,nvme
8,391,24,2056.9769,2057.0218,transient_node,Network,nvme
8,405,25,2056.9983,2057.5552,transient_node,Network,nvme
8,29,1,2061.9974,2062.0611,transient_node,Network,nvme
8,160,10,2065.6835,2065.7587,transient_node,Network,nvme
8,303,18,2073.9807,2074.3398,transient_node,Network,nvme
8,264,16,2074.0049,2074.1322,transient_node,Network,nvme
8,174,10,2076.548,2076.6262,transient_node,Network,nvme
8,507,31,2079.3868,2079.5275,transient_node,Network,nvme
8,428,26,2092.2735,2092.6852,transient_node,Network,nvme
8,301,18,2093.3746,2094.1525,transient_node,Network,nvme
8,439,27,2120.7237,2121.8295,transient_node,Network,nvme
8,465,29,2122.4668,2122.9492,transient_node,Network,nvme
8,247,15,2123.7371,2123.791,transient_node,Network,nvme
8,133,8,2127.6648,2128.0931,transient_node,Network,nvme
8,327,20,2137.9423,2138.0353,transient_node,Network,nvme
8,207,12,2150.603,2150.7884,transient_node,Network,nvme
8,430,26,2154.5651,2154.6682,transient_node,Network,nvme
8,505,31,2160.1835,2160.2375,transient_node,Network,nvme
8,477,29,2176.8603,2177.5525,transient_node,Network,nvme
8,258,16,2177.1585,2178.1175,transient_node,Network,nvme
8,167,10,2182.1996,2182.2335,transient_node,Network,nvme
8,240,15,2184.0246,2184.9312,transient_node,Network,nvme
8,94,5,2193.7971,2193.8305,transient_node,Network,nvme
8,31,1,2195.6009,2195.8989,transient_node,Network,nvme
8,174,10,2204.7403,2205.0986,transient_node,Network,nvme
8,179,11,2211.8582,2211.9572,transient_node,Network,nvme
8,222,13,2212.4942,2212.7421,transient_node,Network,nvme
8,205,12,2215.4371,2215.5857,transient_node,Network,nvme
8,27,1,2216.004,2216.0784,transient_node,Network,nvme
8,238,14,2219.5287,2219.6429,transient_node,Network,nvme
8,52,3,2224.2056,2224.3446,transient_node,Network,nvme
8,132,8,2230.0919,2230.5239,transient_node,Network,nvme
8,371,23,2242.4341,2242.8328,transient_node,Network,nvme
8,382,23,2245.8624,2246.0076,transient_node,Network,nvme
8,207,12,2257.0342,2257.1154,transient_node,Network,nvme
8,118,7,2260.5995,2260.6731,transient_node,Network,nvme
8,269,16,2263.0628,2263.0911,transient_node,Network,nvme
8,133,8,2265.5971,2266.4463,transient_node,Network,nvme
8,278,17,2267.3331,2267.4182,transient_node,Network,nvme
8,229,14,2270.9888,2270.9916,transient_node,Network,nvme
8,150,9,2282.9082,2282.9168,transient_node,Network,nvme
8,188,11,2302.5139,2302.7305,transient_node,Network,nvme
