system,node,rack,start_hours,end_hours,failure_type,root_cause,drive_type
4,76,9,31.2171,31.6538,transient_node,Network,ssd
4,101,12,95.0341,95.3768,transient_node,Network,ssd
4,29,3,108.1158,110.6073,permanent_node,SSD_Sudden_Death,ssd
4,52,6,124.8197,125.6153,transient_node,Network,ssd
4,28,3,163.8915,163.9513,transient_node,Network,ssd
4,40,5,185.9111,186.412,transient_node,Network,ssd
4,29,3,186.1309,186.221,transient_node,Network,ssd
4,60,7,219.1061,219.1065,transient_node,Network,ssd
4,15,1,232.5997,232.8318,transient_node,Network,ssd
4,22,2,242.496,242.7391,transient_node,Network,ssd
4,96,12,252.9753,253.2111,transient_node,Network,ssd
4,114,14,271.0762,271.3118,transient_node,Network,ssd
4,25,3,284.8062,285.092,transient_node,Network,ssd
4,41,5,291.6472,292.5675,transient_node,Network,ssd
4,62,7,294.0275,294.264,transient_node,Network,ssd
4,127,15,314.4725,314.5989,transient_node,Network,ssd
4,88,11,331.2191,331.3676,transient_node,Network,ssd
4,31,3,345.4305,345.6709,transient_node,Network,ssd
4,16,2,373.4168,373.5376,transient_node,Network,ssd
4,96,12,406.3789,406.6195,transient_node,Network,ssd
4,19,2,474.182,474.4288,transient_node,Network,ssd
4,6,0,507.8912,507.9543,transient_node,Network,ssd
4,98,12,525.1099,525.2532,transient_node,Network,ssd
4,85,10,581.1173,581.4424,transient_node,Network,ssd
4,41,5,596.2994,596.3609,transient_node,Network,ssd
4,11,1,604.4212,604.651,transient_node,Network,ssd
4,124,15,620.8957,621.0725,transient_node,Network,ssd
4,127,15,675.3408,675.6036,transient_node,Network,ssd
4,36,4,676.8152,676.9566,transient_node,Network,ssd
4,2,0,681.2814,682.0184,transient_node,Network,ssd
4,79,9,736.4975,736.6149,transient_node,Network,ssd
4,106,13,740.5335,740.8828,transient_node,Network,ssd
4,19,2,812.6433,812.7703,transient_node,Network,ssd
4,119,14,823.3221,823.7405,transient_node,Network,ssd
4,92,11,831.2818,831.5461,transient_node,Network,ssd
4,24,3,855.4752,855.6488,transient_node,Network,ssd
4,41,5,868.5161,868.5361,transient_node,Network,ssd
4,116,14,900.0161,900.2545,transient_node,Network,ssd
4,48,6,939.347,939.3828,transient_node,Network,ssd
4,34,4,962.361,962.5314,transient_node,Network,ssd
4,16,2,1041.9907,1042.4296,transient_node,Network,ssd
4,70,8,1063.958,1064.2345,transient_node,Network,ssd
4,43,5,1120.294,1120.8697,transient_node,Network,ssd
4,80,10,1149.5827,1149.7169,transient_node,Network,ssd
4,16,2,1154.9059,1154.9527,transient_node,Network,ssd
4,94,11,1155.3451,1155.5641,transient_node,Network,ssd
4,104,13,1174.2468,1174.2548,transient_node,Network,ssd
4,39,4,1192.8363,1193.208,transient_node,Network,ssd
4,99,12,1198.343,1198.4304,transient_node,Network,ssd
4,58,7,1203.0014,1203.0809,transient_node,Network,ssd
4,82,10,1217.809,1218.0567,transient_node,Network,ssd
4,93,11,1248.8536,1249.9156,transient_node,Network,ssd
4,112,14,1257.1867,1257.3773,transient_node,Network,ssd
4,80,10,1281.3718,1281.3825,transient_node,Network,ssd
4,87,10,1289.3591,1289.3875,transient_node,Network,ssd
4,32,4,1293.5161,1294.0068,transient_node,Network,ssd
4,124,15,1316.1809,1316.6398,transient_node,Network,ssd
4,43,5,1337.4321,1337.4706,transient_node,Network,ssd
4,95,11,1401.4394,1401.4696,transient_node,Network,ssd
4,65,8,1439.6602,1439.7489,transient_node,Network,ssd
4,2,0,1452.4175,1452.4593,transient_node,Network,ssd
4,37,4,1481.4907,1481.7079,transient_node,Network,ssd
4,52,6,1503.084,1503.4174,transient_node,Network,ssd
4,119,14,1526.2281,1526.3016,transient_node,Network,ssd
4,106,13,1533.4958,1533.5533,transient_node,Network,ssd
4,4,0,1549.8775,1550.2626,transient_node,Network,ssd
4,27,3,1564.0526,1564.7905,transient_node,Network,ssd
4,88,11,1587.7458,1588.4022,transient_node,Network,ssd
4,31,3,1610.3237,1610.3591,transient_node,Network,ssd
4,91,11,1676.1013,1676.2012,transient_node,Network,ssd
4,34,4,1681.6751,1682.3788,transient_node,Network,ssd
4,102,12,1690.775,1690.873,transient_node,Network,ssd
4,24,3,1698.9814,1698.9938,transient_node,Network,ssd
4,70,8,1704.2758,1704.9729,transient_node,Network,ssd
4,29,3,1717.4066,1717.5089,transient_node,Network,ssd
4,33,4,1748.9427,1749.331,transient_node,Network,ssd
4,42,5,1758.9252,1759.1226,transient_node,Network,ssd
4,44,5,1764.3967,1764.8424,transient_node,Network,ssd
4,21,2,1808.447,1808.7384,transient_node,Network,ssd
4,108,13,1842.0482,1842.1976,transient_node,Network,ssd
4,109,13,1888.2986,1888.5988,transient_node,Network,ssd
4,109,13,1900.7915,1900.9557,transient_node,Network,ssd
4,0,0,1956.5238,1956.9603,transient_node,Network,ssd
4,25,3,1963.8486,1963.8787,transient_node,Network,ssd
4,59,7,1966.4961,1966.5506,transient_node,Network,ssd
4,92,11,1968.9923,1969.2274,transient_node,Network,ssd
4,68,8,1982.0237,1982.1288,transient_node,Network,ssd
4,59,7,1990.6979,1990.7092,transient_node,Network,ssd
4,73,9,2012.3723,2012.4221,transient_node,Network,ssd
4,21,2,2029.5618,2029.8901,transient_node,Network,ssd
4,92,11,2030.1325,2030.2237,transient_node,Network,ssd
4,69,8,2044.3952,2044.4059,transient_node,Network,ssd
4,0,0,2050.3224,2050.735,transient_node,Network,ssd
4,62,7,2083.958,2084.0324,transient_node,Network,ssd
4,98,12,2110.138,2110.1925,transient_node,Network,ssd
4,123,15,2115.5242,2115.529,transient_node,Network,ssd
4,28,3,2143.1776,2143.499,transient_node,Network,ssd
4,110,13,2147.4751,2147.5557,transient_node,Network,ssd
4,55,6,2152.2579,2152.3124,transient_node,Network,ssd
4,19,2,2188.4805,2188.7117,transient_node,Network,ssd
4,119,14,2216.1654,2216.1938,transient_node,Network,ssd
4,77,9,2235.6094,2235.6782,transient_node,Network,ssd
4,86,10,2236.0832,2236.1518,transient_node,Network,ssd
4,72,9,2279.1768,2279.6802,transient_node,Network,ssd
